Year,zone,valeur
1910,S. Subtropics,-0.33
1911,S. Subtropics,-0.44
1912,S. Subtropics,-0.37
1913,S. Subtropics,-0.28
1914,S. Subtropics,-0.15
1915,S. Subtropics,-0.15
1916,S. Subtropics,-0.23
1917,S. Subtropics,-0.23
1918,S. Subtropics,-0.06
1919,S. Subtropics,-0.15
1920,S. Subtropics,-0.19
1921,S. Subtropics,-0.23
1922,S. Subtropics,-0.24
1923,S. Subtropics,-0.27
1924,S. Subtropics,-0.4
1925,S. Subtropics,-0.25
1926,S. Subtropics,-0.35
1927,S. Subtropics,-0.31
1928,S. Subtropics,-0.29
1929,S. Subtropics,-0.43
1930,S. Subtropics,-0.33
1931,S. Subtropics,-0.42
1932,S. Subtropics,-0.21
1933,S. Subtropics,-0.22
1934,S. Subtropics,-0.16
1935,S. Subtropics,-0.31
1936,S. Subtropics,-0.27
1937,S. Subtropics,-0.19
1938,S. Subtropics,-0.06
1939,S. Subtropics,-0.05
1940,S. Subtropics,0.03
1941,S. Subtropics,0.03
1942,S. Subtropics,0.05
1943,S. Subtropics,0.07
1944,S. Subtropics,0.18
1945,S. Subtropics,0.04
1946,S. Subtropics,-0.22
1947,S. Subtropics,-0.19
1948,S. Subtropics,-0.19
1949,S. Subtropics,-0.17
1950,S. Subtropics,-0.06
1951,S. Subtropics,-0.22
1952,S. Subtropics,-0.1
1953,S. Subtropics,-0.08
1954,S. Subtropics,-0.17
1955,S. Subtropics,-0.16
1956,S. Subtropics,-0.13
1957,S. Subtropics,-0.09
1958,S. Subtropics,-0.08
1959,S. Subtropics,-0.03
1960,S. Subtropics,-0.1
1961,S. Subtropics,0.14
1962,S. Subtropics,0.09
1963,S. Subtropics,-0.1
1964,S. Subtropics,-0.3
1965,S. Subtropics,-0.23
1966,S. Subtropics,-0.24
1967,S. Subtropics,-0.09
1968,S. Subtropics,-0.14
1969,S. Subtropics,0.0
1970,S. Subtropics,0.11
1971,S. Subtropics,0.03
1972,S. Subtropics,0.16
1973,S. Subtropics,0.21
1974,S. Subtropics,0.21
1975,S. Subtropics,0.13
1976,S. Subtropics,0.1
1977,S. Subtropics,0.21
1978,S. Subtropics,0.2
1979,S. Subtropics,0.29
1980,S. Subtropics,0.35
1981,S. Subtropics,0.28
1982,S. Subtropics,0.18
1983,S. Subtropics,0.21
1984,S. Subtropics,0.16
1985,S. Subtropics,0.3
1986,S. Subtropics,0.25
1987,S. Subtropics,0.32
1988,S. Subtropics,0.38
1989,S. Subtropics,0.36
1990,S. Subtropics,0.37
1991,S. Subtropics,0.31
1992,S. Subtropics,0.2
1993,S. Subtropics,0.27
1994,S. Subtropics,0.26
1995,S. Subtropics,0.29
1996,S. Subtropics,0.33
1997,S. Subtropics,0.42
1998,S. Subtropics,0.39
1999,S. Subtropics,0.46
2000,S. Subtropics,0.42
2001,S. Subtropics,0.58
2002,S. Subtropics,0.5
2003,S. Subtropics,0.44
2004,S. Subtropics,0.48
2005,S. Subtropics,0.49
2006,S. Subtropics,0.51
2007,S. Subtropics,0.5
2008,S. Subtropics,0.53
2009,S. Subtropics,0.6
2010,S. Subtropics,0.63
2011,S. Subtropics,0.64
2012,S. Subtropics,0.56
2013,S. Subtropics,0.63
2014,S. Subtropics,0.72
2015,S. Subtropics,0.75
2016,S. Subtropics,0.67
2017,S. Subtropics,0.76
2018,S. Subtropics,0.79
2019,S. Subtropics,0.74
2020,S. Subtropics,0.59
2021,S. Subtropics,0.73
2022,S. Subtropics,0.79
2023,S. Subtropics,0.9
2024,S. Subtropics,0.88
2025,S. Subtropics,0.97
1880,S. Temperate,0.05
1881,S. Temperate,-0.07
1882,S. Temperate,0.04
1883,S. Temperate,0.07
1884,S. Temperate,-0.02
1885,S. Temperate,-0.15
1886,S. Temperate,-0.2
1887,S. Temperate,-0.26
1888,S. Temperate,-0.22
1889,S. Temperate,-0.15
1890,S. Temperate,-0.27
1891,S. Temperate,-0.24
1892,S. Temperate,-0.21
1893,S. Temperate,-0.2
1894,S. Temperate,-0.35
1895,S. Temperate,-0.32
1896,S. Temperate,-0.13
1897,S. Temperate,-0.27
1898,S. Temperate,-0.21
1899,S. Temperate,-0.22
1900,S. Temperate,-0.29
1901,S. Temperate,-0.33
1902,S. Temperate,-0.43
1903,S. Temperate,-0.4
1904,S. Temperate,-0.49
1905,S. Temperate,-0.37
1906,S. Temperate,-0.22
1907,S. Temperate,-0.37
1908,S. Temperate,-0.48
1909,S. Temperate,-0.52
1910,S. Temperate,-0.45
1911,S. Temperate,-0.52
1912,S. Temperate,-0.29
1913,S. Temperate,-0.4
1914,S. Temperate,-0.18
1915,S. Temperate,-0.23
1916,S. Temperate,-0.17
1917,S. Temperate,-0.09
1918,S. Temperate,-0.22
1919,S. Temperate,-0.32
1920,S. Temperate,-0.48
1921,S. Temperate,-0.38
1922,S. Temperate,-0.28
1923,S. Temperate,-0.41
1924,S. Temperate,-0.45
1925,S. Temperate,-0.55
1926,S. Temperate,-0.45
1927,S. Temperate,-0.45
1928,S. Temperate,-0.48
1929,S. Temperate,-0.44
1930,S. Temperate,-0.46
1931,S. Temperate,-0.4
1932,S. Temperate,-0.53
1933,S. Temperate,-0.48
1934,S. Temperate,-0.38
1935,S. Temperate,-0.41
1936,S. Temperate,-0.32
1937,S. Temperate,-0.25
1938,S. Temperate,-0.11
1939,S. Temperate,-0.18
1940,S. Temperate,-0.2
1941,S. Temperate,-0.15
1942,S. Temperate,-0.05
1943,S. Temperate,0.0
1944,S. Temperate,-0.09
1945,S. Temperate,0.0
1946,S. Temperate,-0.24
1947,S. Temperate,-0.08
1948,S. Temperate,-0.19
1949,S. Temperate,-0.15
1950,S. Temperate,-0.16
1951,S. Temperate,-0.16
1952,S. Temperate,-0.02
1953,S. Temperate,-0.24
1954,S. Temperate,-0.2
1955,S. Temperate,-0.08
1956,S. Temperate,0.02
1957,S. Temperate,-0.02
1958,S. Temperate,-0.08
1959,S. Temperate,-0.26
1960,S. Temperate,-0.07
1961,S. Temperate,-0.17
1962,S. Temperate,-0.08
1963,S. Temperate,-0.17
1964,S. Temperate,-0.07
1965,S. Temperate,-0.03
1966,S. Temperate,-0.14
1967,S. Temperate,-0.02
1968,S. Temperate,0.0
1969,S. Temperate,0.13
1970,S. Temperate,0.03
1971,S. Temperate,0.16
1972,S. Temperate,-0.02
1973,S. Temperate,0.08
1974,S. Temperate,-0.08
1975,S. Temperate,0.14
1976,S. Temperate,0.22
1977,S. Temperate,0.31
1978,S. Temperate,0.13
1979,S. Temperate,0.33
1980,S. Temperate,0.37
1981,S. Temperate,0.39
1982,S. Temperate,0.32
1983,S. Temperate,0.41
1984,S. Temperate,0.32
1985,S. Temperate,0.44
1986,S. Temperate,0.25
1987,S. Temperate,0.25
1988,S. Temperate,0.2
1989,S. Temperate,0.3
1990,S. Temperate,0.37
1991,S. Temperate,0.29
1992,S. Temperate,0.33
1993,S. Temperate,0.39
1994,S. Temperate,0.23
1995,S. Temperate,0.15
1996,S. Temperate,0.28
1997,S. Temperate,0.36
1998,S. Temperate,0.31
1999,S. Temperate,0.19
2000,S. Temperate,0.1
2001,S. Temperate,0.24
2002,S. Temperate,0.31
2003,S. Temperate,0.24
2004,S. Temperate,0.23
2005,S. Temperate,0.18
2006,S. Temperate,0.19
2007,S. Temperate,0.07
2008,S. Temperate,0.08
2009,S. Temperate,0.15
2010,S. Temperate,0.2
2011,S. Temperate,0.19
2012,S. Temperate,0.2
2013,S. Temperate,0.23
2014,S. Temperate,0.19
2015,S. Temperate,0.2
2016,S. Temperate,0.28
2017,S. Temperate,0.38
2018,S. Temperate,0.41
2019,S. Temperate,0.41
2020,S. Temperate,0.4
2021,S. Temperate,0.33
2022,S. Temperate,0.41
2023,S. Temperate,0.46
2024,S. Temperate,0.54
2025,S. Temperate,0.55
1880,Antarctic,0.69
1881,Antarctic,0.61
1882,Antarctic,0.64
1883,Antarctic,0.52
1884,Antarctic,0.67
1885,Antarctic,0.84
1886,Antarctic,0.61
1887,Antarctic,0.34
1888,Antarctic,0.17
1889,Antarctic,0.46
1890,Antarctic,0.17
1891,Antarctic,-0.14
1892,Antarctic,0.11
1893,Antarctic,-0.03
1894,Antarctic,-0.36
1895,Antarctic,-0.57
1896,Antarctic,0.27
1897,Antarctic,0.42
1898,Antarctic,0.39
1899,Antarctic,0.6
1900,Antarctic,0.29
1901,Antarctic,0.28
1902,Antarctic,-0.03
1903,Antarctic,-0.49
1904,Antarctic,-1.31
1905,Antarctic,-0.33
1906,Antarctic,-0.71
1907,Antarctic,-1.19
1908,Antarctic,0.68
1909,Antarctic,-0.56
1910,Antarctic,0.16
1911,Antarctic,0.06
1912,Antarctic,-1.63
1913,Antarctic,-1.03
1914,Antarctic,-0.36
1915,Antarctic,-1.98
1916,Antarctic,-1.04
1917,Antarctic,0.07
1918,Antarctic,-0.28
1919,Antarctic,0.2
1920,Antarctic,-1.14
1921,Antarctic,-0.83
1922,Antarctic,-0.27
1923,Antarctic,-0.54
1924,Antarctic,-0.53
1925,Antarctic,-0.86
1926,Antarctic,-0.63
1927,Antarctic,-1.38
1928,Antarctic,-2.12
1929,Antarctic,-1.07
1930,Antarctic,-2.59
1931,Antarctic,-0.41
1932,Antarctic,-0.98
1933,Antarctic,-1.14
1934,Antarctic,-0.56
1935,Antarctic,-1.71
1936,Antarctic,-0.03
1937,Antarctic,0.37
1938,Antarctic,-0.86
1939,Antarctic,-1.6
1940,Antarctic,-0.05
1941,Antarctic,-0.46
1942,Antarctic,-0.9
1943,Antarctic,1.14
1944,Antarctic,-0.97
1945,Antarctic,-1.81
1946,Antarctic,-0.21
1947,Antarctic,-0.23
1948,Antarctic,-1.42
1949,Antarctic,-2.02
1950,Antarctic,-0.86
1951,Antarctic,-0.7
1952,Antarctic,-0.54
1953,Antarctic,-1.14
1954,Antarctic,-0.82
1955,Antarctic,1.2
1956,Antarctic,0.77
1957,Antarctic,0.49
1958,Antarctic,-0.55
1959,Antarctic,-0.39
1960,Antarctic,-0.78
1961,Antarctic,0.21
1962,Antarctic,-0.65
1963,Antarctic,-0.03
1964,Antarctic,-0.37
1965,Antarctic,0.0
1966,Antarctic,0.13
1967,Antarctic,0.31
1968,Antarctic,-0.07
1969,Antarctic,-0.15
1970,Antarctic,0.35
1971,Antarctic,0.49
1972,Antarctic,0.48
1973,Antarctic,0.35
1974,Antarctic,0.66
1975,Antarctic,0.31
1976,Antarctic,-0.22
1977,Antarctic,0.28
1978,Antarctic,0.03
1979,Antarctic,-0.21
1980,Antarctic,0.57
1981,Antarctic,0.62
1982,Antarctic,-0.11
1983,Antarctic,0.1
1984,Antarctic,0.54
1985,Antarctic,0.07
1986,Antarctic,-0.09
1987,Antarctic,0.01
1988,Antarctic,0.93
1989,Antarctic,0.41
1990,Antarctic,0.37
1991,Antarctic,0.98
1992,Antarctic,0.41
1993,Antarctic,-0.28
1994,Antarctic,-0.02
1995,Antarctic,0.16
1996,Antarctic,1.32
1997,Antarctic,0.04
1998,Antarctic,0.14
1999,Antarctic,0.02
2000,Antarctic,0.27
2001,Antarctic,0.25
2002,Antarctic,0.79
2003,Antarctic,0.37
2004,Antarctic,-0.04
2005,Antarctic,0.68
2006,Antarctic,0.45
2007,Antarctic,1.28
2008,Antarctic,0.64
2009,Antarctic,0.99
2010,Antarctic,0.54
2011,Antarctic,1.1
2012,Antarctic,0.46
2013,Antarctic,0.88
2014,Antarctic,0.56
2015,Antarctic,-0.34
2016,Antarctic,0.37
2017,Antarctic,0.52
2018,Antarctic,0.91
2019,Antarctic,0.8
2020,Antarctic,0.85
2021,Antarctic,0.3
2022,Antarctic,1.08
2023,Antarctic,0.62
2024,Antarctic,0.68
2025,Antarctic,1.57
1880,Glob,-0.18
1881,Glob,-0.1
1882,Glob,-0.12
1883,Glob,-0.18
1884,Glob,-0.29
1885,Glob,-0.34
1886,Glob,-0.32
1887,Glob,-0.37
1888,Glob,-0.18
1889,Glob,-0.11
1890,Glob,-0.36
1891,Glob,-0.23
1892,Glob,-0.28
1893,Glob,-0.32
1894,Glob,-0.31
1895,Glob,-0.24
1896,Glob,-0.12
1897,Glob,-0.12
1898,Glob,-0.29
1899,Glob,-0.19
